sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
ERR4613277	128578	121585	94.56	114348	103927	80.83	103180	80.25
ERR4613278	365036	343809	94.18	338550	323677	88.67	298944	81.89
ERR4613279	707910	667664	94.31	660044	636977	89.98	595005	84.05
ERR4613280	368498	346288	93.97	341098	327459	88.86	316700	85.94
ERR4613281	742223	696215	93.8	688849	665913	89.72	643746	86.73
ERR4613282	366897	345948	94.29	336747	322274	87.84	316325	86.22
ERR4613283	360627	340362	94.38	332372	317861	88.14	306809	85.08
ERR4613284	341295	321804	94.29	313365	298148	87.36	285460	83.64
ERR4613285	359493	337815	93.97	332076	319445	88.86	306771	85.33
ERR4613286	332244	311611	93.79	308155	299142	90.04	292177	87.94
ERR4613287	339102	319407	94.19	312890	298903	88.15	285316	84.14
ERR4613288	302261	282984	93.62	277139	266048	88.02	257407	85.16
ERR4613289	361089	339664	94.07	334310	321256	88.97	307694	85.21
ERR4613290	372889	351088	94.15	343975	329572	88.38	314600	84.37
ERR4613291	397780	372553	93.66	366698	351949	88.48	335985	84.47
ERR4613292	319395	301326	94.34	295676	283957	88.9	271543	85.02
ERR4613293	339146	320099	94.38	313627	299786	88.39	285877	84.29
ERR4613294	582277	549359	94.35	539325	513166	88.13	479923	82.42
ERR4613295	375491	354019	94.28	346228	327876	87.32	302455	80.55
ERR4613296	377815	356025	94.23	349550	332356	87.97	308066	81.54
ERR4613297	374688	353458	94.33	346772	332734	88.8	318435	84.99
ERR4613298	375990	355634	94.59	349018	334665	89.01	317099	84.34
ERR4613299	305560	288728	94.49	284391	273337	89.45	260416	85.23
ERR4613300	344389	326060	94.68	320725	308520	89.58	291646	84.69
ERR4613301	370287	348783	94.19	343055	329049	88.86	308431	83.3
ERR4613302	523755	493787	94.28	486145	465568	88.89	431089	82.31
ERR4613303	380095	358722	94.38	353235	339744	89.38	321924	84.7
ERR4613304	343204	324148	94.45	318611	306004	89.16	292674	85.28
ERR4613305	378685	356632	94.18	350420	335476	88.59	313220	82.71
ERR4613306	130415	123303	94.55	115941	103048	79.02	101139	77.55
ERR4613307	125752	118931	94.58	111907	99671	79.26	98838	78.6
ERR4613308	154732	145451	94	138060	124801	80.66	122906	79.43
ERR4613309	152467	143491	94.11	136116	122307	80.22	120438	78.99
ERR4613310	166531	156994	94.27	145600	129507	77.77	128243	77.01
ERR4613311	197631	186213	94.22	172138	152512	77.17	150893	76.35
ERR4613312	203830	191860	94.13	180404	162812	79.88	160829	78.9
ERR4613313	179011	169104	94.47	159591	143878	80.37	142240	79.46
ERR4613314	302777	283575	93.66	279213	268486	88.67	259366	85.66
ERR4613315	335475	314241	93.67	309114	297288	88.62	286108	85.28
ERR4613316	339653	317556	93.49	311198	298398	87.85	286688	84.41
ERR4613317	317326	296633	93.48	292313	282010	88.87	273940	86.33
ERR4613318	317032	296800	93.62	292884	284191	89.64	274777	86.67
ERR4613319	329085	308045	93.61	304009	294214	89.4	282664	85.89
ERR4613320	329008	307470	93.45	303629	293862	89.32	284673	86.52
ERR4613321	340549	318046	93.39	313261	301888	88.65	290951	85.44
ERR4613322	277025	259937	93.83	255470	246385	88.94	239142	86.33
ERR4613323	297189	277797	93.47	272259	262644	88.38	255639	86.02
ERR4613324	281656	265415	94.23	258312	245058	87.01	234607	83.3
ERR4613325	313619	295479	94.22	288832	276094	88.03	264877	84.46
ERR4613326	282788	264623	93.58	258652	246264	87.08	232558	82.24
ERR4613327	295597	278820	94.32	272989	259757	87.88	246647	83.44
ERR4613328	314656	295787	94	290485	278663	88.56	266490	84.69
ERR4613329	238263	223503	93.81	219134	208704	87.59	197659	82.96
ERR4613330	336732	316747	94.07	308772	290924	86.4	270206	80.24
ERR4613331	306897	288144	93.89	281509	267494	87.16	255218	83.16
ERR4613332	277971	261083	93.92	256024	244340	87.9	233014	83.83
ERR4613333	214976	204195	94.99	189207	171680	79.86	168542	78.4
ERR4613334	334839	315716	94.29	310053	296383	88.52	279248	83.4
ERR4613335	296758	279578	94.21	274322	262385	88.42	246979	83.23
ERR4613336	306891	289847	94.45	283988	269811	87.92	254780	83.02
ERR4613337	315617	297058	94.12	291789	279517	88.56	265483	84.12
ERR4613338	351746	330433	93.94	325180	313282	89.06	299627	85.18
ERR4613339	433599	407457	93.97	401115	385177	88.83	363132	83.75
ERR4613340	320238	302542	94.47	295402	279074	87.15	254147	79.36
ERR4613341	296528	279058	94.11	274416	264516	89.2	251937	84.96
ERR4613342	355143	335600	94.5	329697	315985	88.97	294945	83.05
ERR4613343	153519	145283	94.64	134184	118358	77.1	117228	76.36
ERR4613344	200752	189963	94.63	176558	156469	77.94	155204	77.31
ERR4613345	166640	157949	94.78	147129	130893	78.55	129527	77.73
ERR4613346	151614	143625	94.73	133234	118768	78.34	118067	77.87
ERR4613347	158218	149774	94.66	138743	122685	77.54	121618	76.87
ERR4613348	192087	181591	94.54	169910	151597	78.92	148878	77.51
ERR4613349	155292	147253	94.82	135224	120790	77.78	119143	76.72
ERR4613350	108018	102489	94.88	93420	81749	75.68	79722	73.8
ERR4613351	166073	157867	95.06	144318	127769	76.94	123964	74.64
ERR4613352	113615	107303	94.44	99093	87626	77.13	86842	76.44
ERR4613353	347785	328887	94.57	319548	300512	86.41	281254	80.87
ERR4613354	327524	309295	94.43	302400	288882	88.2	274875	83.93
ERR4613355	355159	335451	94.45	327383	311360	87.67	296060	83.36
ERR4613356	314982	296072	94	289954	276893	87.91	270974	86.03
ERR4613357	308936	290243	93.95	284232	271978	88.04	265847	86.05
ERR4613358	323122	304271	94.17	298035	284480	88.04	276293	85.51
ERR4613359	377146	355956	94.38	346833	328259	87.04	317226	84.11
ERR4613360	328690	309934	94.29	303932	290278	88.31	278043	84.59
ERR4613361	344692	325160	94.33	317798	302541	87.77	292447	84.84
ERR4613362	294053	275951	93.84	270382	258842	88.03	252875	86
ERR4613363	336319	318121	94.59	309700	292310	86.91	273157	81.22
ERR4613364	347536	329039	94.68	320373	302557	87.06	285673	82.2
ERR4613365	328263	309364	94.24	301742	283616	86.4	264943	80.71
ERR4613366	388318	368348	94.86	360425	341837	88.03	318373	81.99
ERR4613367	330111	313191	94.87	304932	286598	86.82	267624	81.07
ERR4613368	316047	299228	94.68	290691	273560	86.56	257022	81.32
ERR4613369	335248	315951	94.24	309525	295482	88.14	280967	83.81
ERR4613370	344548	325019	94.33	315740	298758	86.71	280332	81.36
ERR4613371	344105	324880	94.41	315315	297098	86.34	276478	80.35
ERR4613372	360660	342220	94.89	329135	304110	84.32	274226	76.03
ERR4613373	334432	315752	94.41	311151	301093	90.03	288749	86.34
ERR4613374	330034	312842	94.79	306820	294749	89.31	277203	83.99
ERR4613375	314360	295953	94.14	290099	277935	88.41	263667	83.87
ERR4613376	324888	305898	94.15	300550	290263	89.34	274892	84.61
ERR4613377	305234	287308	94.13	281631	271628	88.99	260029	85.19
ERR4613378	309923	292145	94.26	286995	276759	89.3	263476	85.01
ERR4613379	352015	332525	94.46	326346	313799	89.14	290244	82.45
ERR4613380	603599	568977	94.26	561072	540395	89.53	506098	83.85
ERR4613381	153748	145177	94.43	134592	120753	78.54	119937	78.01
ERR4613382	160495	151706	94.52	141979	127488	79.43	126605	78.88
ERR4613383	116903	110125	94.2	101775	91425	78.21	91040	77.88
ERR4613384	142526	135036	94.74	125613	112728	79.09	112119	78.67
ERR4613385	142526	135111	94.8	125394	112819	79.16	111903	78.51
ERR4613386	143375	135697	94.64	126707	114502	79.86	113516	79.17
ERR4613387	178484	168774	94.56	159985	146401	82.02	144902	81.18
ERR4613388	144075	136027	94.41	125015	110977	77.03	109980	76.34
ERR4613389	184005	173686	94.39	158781	142049	77.2	139835	76
ERR4613390	146818	139437	94.97	127644	111679	76.07	110957	75.57
ERR4613391	216826	205679	94.86	190263	172117	79.38	169818	78.32
ERR4613392	615567	578220	93.93	570753	548721	89.14	524882	85.27
ERR4613393	327457	307534	93.92	301702	289007	88.26	279325	85.3
ERR4613394	673977	633033	93.93	627041	608257	90.25	587252	87.13
ERR4613395	571699	536314	93.81	530456	513315	89.79	497197	86.97
ERR4613396	282535	264087	93.47	260248	251622	89.06	245511	86.9
ERR4613397	608972	570933	93.75	564307	547249	89.86	530572	87.13
ERR4613398	585803	550159	93.92	544035	524930	89.61	502327	85.75
ERR4613399	325840	306021	93.92	300993	288440	88.52	275946	84.69
ERR4613400	580933	544816	93.78	539439	522438	89.93	503291	86.63
ERR4613401	537513	502300	93.45	498316	484652	90.17	476497	88.65
ERR4613402	330927	310451	93.81	305203	292684	88.44	277527	83.86
ERR4613403	285446	268191	93.96	262548	251489	88.1	238358	83.5
ERR4613404	349482	328411	93.97	322299	306352	87.66	281903	80.66
ERR4613405	333729	315652	94.58	308799	293553	87.96	274677	82.31
ERR4613406	301588	283593	94.03	278617	267615	88.74	257893	85.51
ERR4613407	289901	272078	93.85	266700	255493	88.13	246850	85.15
ERR4613408	328507	308550	93.92	302843	290321	88.38	279569	85.1
ERR4613409	285036	267311	93.78	261018	248647	87.23	238607	83.71
ERR4613410	384335	361897	94.16	353415	335526	87.3	311563	81.07
ERR4613411	327960	309730	94.44	302871	287698	87.72	268911	82
ERR4613412	334849	315493	94.22	309417	298046	89.01	285701	85.32
ERR4613413	301932	285104	94.43	278795	267448	88.58	255971	84.78
ERR4613414	335672	316108	94.17	311530	301049	89.69	285973	85.19
ERR4613415	375667	354027	94.24	348076	334754	89.11	315104	83.88
ERR4613416	317678	298493	93.96	293584	282314	88.87	267604	84.24
ERR4613417	410518	387146	94.31	380567	364066	88.68	342682	83.48
ERR4613418	373435	351326	94.08	346053	333254	89.24	314560	84.23
ERR4613419	366053	345989	94.52	341421	331842	90.65	321354	87.79
ERR4613420	141438	133805	94.6	124288	109430	77.37	107425	75.95
ERR4613421	108322	102586	94.7	94903	83345	76.94	82271	75.95
ERR4613422	129260	121877	94.29	113585	100820	78	99833	77.23
ERR4613423	118336	111368	94.11	102837	89709	75.81	88213	74.54
ERR4613424	119601	112630	94.17	105380	94927	79.37	93965	78.57
ERR4613425	136656	128968	94.37	119553	105156	76.95	103188	75.51
ERR4613426	116563	109958	94.33	103619	93376	80.11	92318	79.2
ERR4613427	148227	139765	94.29	132083	119257	80.46	117887	79.53
ERR4613428	336006	316762	94.27	312200	300880	89.55	287427	85.54
ERR4613429	326374	307868	94.33	303708	292804	89.71	278608	85.36
ERR4613430	343299	323248	94.16	318227	305735	89.06	291091	84.79
ERR4613431	410297	385795	94.03	378701	362797	88.42	351069	85.56
ERR4613432	665390	624825	93.9	617837	599072	90.03	577254	86.75
ERR4613433	367585	346826	94.35	340226	327156	89	307997	83.79
ERR4613434	305049	286909	94.05	282184	272145	89.21	262605	86.09
ERR4613435	497270	466940	93.9	461685	446481	89.79	431683	86.81
ERR4613436	354596	334211	94.25	328492	317026	89.4	305743	86.22
ERR4613437	177723	168789	94.97	157698	143023	80.48	141813	79.79
ERR4613438	311887	293312	94.04	288922	279857	89.73	273226	87.6
ERR4613439	291918	274761	94.12	269410	257468	88.2	245657	84.15
ERR4613440	363189	342916	94.42	335124	319243	87.9	301049	82.89
ERR4613441	273131	256418	93.88	251059	239609	87.73	227613	83.33
ERR4613442	272967	258077	94.55	252608	240963	88.28	227693	83.41
ERR4613443	384430	363100	94.45	356599	342806	89.17	326057	84.82
ERR4613444	371002	350367	94.44	343126	326320	87.96	302929	81.65
ERR4613445	354362	334112	94.29	327052	311100	87.79	296650	83.71
ERR4613446	351266	330915	94.21	323762	308923	87.95	297108	84.58
ERR4613447	471254	443825	94.18	435171	413695	87.79	389555	82.66
ERR4613448	377783	357783	94.71	351115	335466	88.8	319071	84.46
ERR4613449	316908	300062	94.68	296181	286440	90.39	260487	82.2
ERR4613450	321083	304421	94.81	298282	285816	89.02	268503	83.62
ERR4613451	312282	294278	94.23	286854	270793	86.71	254698	81.56
ERR4613452	321354	302872	94.25	295697	282687	87.97	270494	84.17
ERR4613453	188034	176848	94.05	173487	166598	88.6	164852	87.67
ERR4613454	316415	299280	94.58	294176	282516	89.29	267237	84.46
ERR4613455	399606	376507	94.22	369853	355202	88.89	341435	85.44
ERR4613456	324959	306285	94.25	300973	291312	89.65	281933	86.76
ERR4613457	387696	367008	94.66	359924	345120	89.02	327884	84.57
ERR4613458	331740	312354	94.16	307306	298248	89.9	287702	86.73
ERR4613459	353267	332896	94.23	325664	311203	88.09	297470	84.21
ERR4613460	276402	259769	93.98	255026	244795	88.56	236280	85.48
ERR4613461	300124	281463	93.78	276674	266963	88.95	258413	86.1
ERR4613462	332219	312266	93.99	306738	295020	88.8	284064	85.51
ERR4613463	267760	251720	94.01	246510	236480	88.32	231437	86.43
ERR4613464	343075	322328	93.95	317187	308005	89.78	300707	87.65
ERR4613465	334346	314367	94.02	309539	299176	89.48	290052	86.75
ERR4613466	152530	144524	94.75	135953	124971	81.93	124275	81.48
ERR4613467	281321	263559	93.69	260278	252550	89.77	246998	87.8
ERR4613468	384633	362559	94.26	355952	340662	88.57	318281	82.75
ERR4613469	324902	305941	94.16	299692	285223	87.79	267836	82.44
ERR4613470	393974	369798	93.86	362647	344572	87.46	325572	82.64
ERR4613471	317642	299592	94.32	293819	280361	88.26	264066	83.13
ERR4613472	449382	423297	94.2	416000	398538	88.69	378616	84.25
ERR4613473	382481	360135	94.16	354916	340761	89.09	322440	84.3
ERR4613474	388352	366793	94.45	358400	339495	87.42	316420	81.48
ERR4613475	356003	335126	94.14	327732	311056	87.37	295578	83.03
ERR4613476	395951	373626	94.36	365922	349167	88.18	327419	82.69
ERR4613477	164760	156453	94.96	146274	133302	80.91	131916	80.07
ERR4613478	424742	402644	94.8	394301	374245	88.11	347061	81.71
ERR4613479	382346	360942	94.4	354006	339646	88.83	326304	85.34
ERR4613480	398797	376810	94.49	370029	356067	89.29	344301	86.33
ERR4613481	178706	167470	93.71	163592	157037	87.87	152495	85.33
ERR4613482	435022	409315	94.09	401993	385646	88.65	366126	84.16
ERR4613483	342413	322037	94.05	315059	300826	87.85	287410	83.94
ERR4613484	257039	241776	94.06	236739	226317	88.05	215612	83.88
ERR4613485	299184	281627	94.13	275263	263682	88.13	253092	84.59
ERR4613486	182671	172976	94.69	160315	145327	79.56	143984	78.82
ERR4613487	472750	445783	94.3	438279	422983	89.47	407202	86.13
ERR4613488	146127	137790	94.29	128750	112965	77.31	111657	76.41
ERR4613489	164894	155767	94.46	144666	125225	75.94	123973	75.18
ERR4613490	163101	153500	94.11	141629	122121	74.87	120618	73.95
ERR4613491	198668	188314	94.79	176542	157469	79.26	155403	78.22
ERR4613492	181333	172886	95.34	163317	148997	82.17	139774	77.08
ERR4613493	149499	141147	94.41	132146	116304	77.8	115464	77.23
ERR4613494	250445	235596	94.07	221088	193138	77.12	188985	75.46
ERR4613495	161020	151569	94.13	140891	124217	77.14	122890	76.32
ERR4613496	222126	209572	94.35	197672	175989	79.23	173430	78.08
ERR4613497	171387	162725	94.95	149977	134991	78.76	133579	77.94
ERR4613498	164478	155830	94.74	145162	127815	77.71	126345	76.82
